GEO_NAME,CHARACTERISTIC_ID,CHARACTERISTIC_NAME,Total Population,Total Population of Men,Total Population of Women
St. John's,344,  65 years and over,5060,1875,3185
St. John's,351,  0 to 17 years,38155,19615,18535
St. John's,353,  18 to 64 years,134370,65490,68880
St. John's,354,  65 years and over,36295,16485,19810
St. John's,356,  0 to 17 years,1650,875,775
St. John's,358,  18 to 64 years,7740,3965,3775
St. John's,359,  65 years and over,505,190,310
St. John's,1457,  15 to 24 years,3265,,
St. John's,1458,  25 to 34 years,13155,,
St. John's,1459,  35 to 44 years,16150,,
St. John's,1460,  45 to 54 years,16565,,
St. John's,1461,  55 to 64 years,17710,,
St. John's,1462,  65 to 74 years,13960,,
St. John's,1463,  75 to 84 years,7200,,
St. John's,1464,  85 years and over,2000,,
St. John's,1540,  5 to 14 years,1750,895,860
St. John's,1541,  15 to 24 years,1410,740,670
St. John's,1542,  25 to 44 years,4570,2305,2260
Grand Falls-Windsor,9,  0 to 14 years,1925,965,960
Grand Falls-Windsor,12,    10 to 14 years,760,395,365
Grand Falls-Windsor,13,  15 to 64 years,8455,4100,4355
Grand Falls-Windsor,14,    15 to 19 years,725,370,360
Grand Falls-Windsor,15,    20 to 24 years,675,345,330
Grand Falls-Windsor,16,    25 to 29 years,620,295,325
Grand Falls-Windsor,17,    30 to 34 years,680,320,355
Grand Falls-Windsor,18,    35 to 39 years,755,360,395
Grand Falls-Windsor,19,    40 to 44 years,850,400,460
Grand Falls-Windsor,20,    45 to 49 years,890,430,460
Grand Falls-Windsor,21,    50 to 54 years,990,480,510
Grand Falls-Windsor,22,    55 to 59 years,1090,535,550
Grand Falls-Windsor,23,    60 to 64 years,1180,570,610
Grand Falls-Windsor,24,  65 years and over,3465,1575,1890
Grand Falls-Windsor,25,    65 to 69 years,1080,515,565
Grand Falls-Windsor,26,    70 to 74 years,910,420,490
Grand Falls-Windsor,27,    75 to 79 years,640,285,355
Grand Falls-Windsor,28,    80 to 84 years,505,240,265
Grand Falls-Windsor,29,    85 years and over,330,115,215
Grand Falls-Windsor,30,      85 to 89 years,245,85,155
Grand Falls-Windsor,31,      90 to 94 years,75,25,50
Grand Falls-Windsor,32,      95 to 99 years,15,5,10
Grand Falls-Windsor,35,  0 to 14 years,13.9,14.5,13.3
Grand Falls-Windsor,36,  15 to 64 years,61,61.7,60.4
Grand Falls-Windsor,37,  65 years and over,25,23.7,26.2
Grand Falls-Windsor,38,    85 years and over,2.4,1.7,3
Grand Falls-Windsor,159,"    $10,000 to $19,999",1625,625,1005
Grand Falls-Windsor,160,"    $20,000 to $29,999",2100,850,1250
Grand Falls-Windsor,161,"    $30,000 to $39,999",1675,765,915
Grand Falls-Windsor,162,"    $40,000 to $49,999",1460,750,710
Grand Falls-Windsor,163,"    $50,000 to $59,999",955,495,455
Grand Falls-Windsor,164,"    $60,000 to $69,999",645,385,265
Grand Falls-Windsor,165,"    $70,000 to $79,999",425,245,175
Grand Falls-Windsor,166,"    $80,000 to $89,999",280,165,120
Grand Falls-Windsor,167,"    $90,000 to $99,999",365,185,180
Grand Falls-Windsor,168,"    $100,000 and over",775,525,250
Grand Falls-Windsor,169,"      $100,000 to $149,999",560,360,200
Grand Falls-Windsor,170,"      $150,000 and over",215,170,50
Grand Falls-Windsor,175,"    $10,000 to $19,999",1670,645,1025
Grand Falls-Windsor,176,"    $20,000 to $29,999",2490,1035,1455
Grand Falls-Windsor,177,"    $30,000 to $39,999",2005,960,1045
Grand Falls-Windsor,178,"    $40,000 to $49,999",1485,800,690
Grand Falls-Windsor,179,"    $50,000 to $59,999",885,510,375
Grand Falls-Windsor,180,"    $60,000 to $69,999",510,300,205
