GEO_NAME,CHARACTERISTIC_ID,CHARACTERISTIC_NAME,Total Population,Total Population of Men,Total Population of Women
Bathurst,19,    40 to 44 years,1805,870,935
Bathurst,20,    45 to 49 years,1905,900,1005
Bathurst,21,    50 to 54 years,2305,1135,1175
Bathurst,22,    55 to 59 years,2745,1340,1410
Bathurst,23,    60 to 64 years,2965,1445,1515
Bathurst,24,  65 years and over,8985,4255,4735
Bathurst,25,    65 to 69 years,2800,1355,1445
Bathurst,26,    70 to 74 years,2490,1220,1265
Bathurst,27,    75 to 79 years,1705,820,875
Bathurst,28,    80 to 84 years,1100,525,570
Bathurst,29,    85 years and over,895,320,570
Bathurst,30,      85 to 89 years,570,230,335
Bathurst,31,      90 to 94 years,250,80,175
Bathurst,32,      95 to 99 years,65,15,55
Bathurst,35,  0 to 14 years,11.1,11.6,10.6
Bathurst,36,  15 to 64 years,60.3,60.9,59.8
Bathurst,37,  65 years and over,28.6,27.6,29.7
Bathurst,38,    85 years and over,2.9,2.1,3.6
Bathurst,159,"    $10,000 to $19,999",3680,1375,2305
Bathurst,160,"    $20,000 to $29,999",5295,2445,2845
Bathurst,161,"    $30,000 to $39,999",4205,2100,2105
Bathurst,162,"    $40,000 to $49,999",3555,1775,1780
Bathurst,163,"    $50,000 to $59,999",2295,1280,1015
Bathurst,164,"    $60,000 to $69,999",1510,895,620
Bathurst,165,"    $70,000 to $79,999",1145,640,510
Bathurst,166,"    $80,000 to $89,999",870,455,410
Bathurst,167,"    $90,000 to $99,999",530,295,235
Bathurst,168,"    $100,000 and over",1210,885,325
Bathurst,169,"      $100,000 to $149,999",840,595,240
Bathurst,170,"      $150,000 and over",375,285,85
Bathurst,175,"    $10,000 to $19,999",3850,1460,2390
Bathurst,176,"    $20,000 to $29,999",6245,2925,3325
Bathurst,177,"    $30,000 to $39,999",5120,2575,2545
Bathurst,178,"    $40,000 to $49,999",3485,1900,1580
Bathurst,179,"    $50,000 to $59,999",2090,1210,885
Bathurst,180,"    $60,000 to $69,999",1455,785,675
Bathurst,181,"    $70,000 to $79,999",780,425,355
Bathurst,182,"    $80,000 to $89,999",400,255,145
Bathurst,183,"    $90,000 to $99,999",235,185,55
Bathurst,184,"    $100,000 and over",520,390,125
Bathurst,185,"      $100,000 to $124,999",270,205,65
Bathurst,186,"      $125,000 and over",255,190,65
Bathurst,191,"    $5,000 to $9,999",1520,720,795
Bathurst,192,"    $10,000 to $19,999",2380,1245,1135
Bathurst,193,"    $20,000 to $29,999",1955,955,1005
Bathurst,194,"    $30,000 to $39,999",1935,870,1060
Bathurst,195,"    $40,000 to $49,999",1515,745,770
Bathurst,196,"    $50,000 to $59,999",1195,665,535
Bathurst,197,"    $60,000 to $69,999",895,520,380
Bathurst,198,"    $70,000 to $79,999",785,425,365
Bathurst,199,"    $80,000 to $89,999",655,320,330
Bathurst,200,"    $90,000 to $99,999",370,210,160
Bathurst,201,"    $100,000 and over",830,635,195
Bathurst,202,"      $100,000 to $124,999",425,310,110
Bathurst,203,"      $125,000 and over",405,325,85
Bathurst,262,"  $5,000 to $9,999",220,,
Bathurst,263,"  $10,000 to $14,999",260,,
Bathurst,264,"  $15,000 to $19,999",230,,
Bathurst,265,"  $20,000 to $24,999",1100,,
Bathurst,266,"  $25,000 to $29,999",615,,
Bathurst,267,"  $30,000 to $34,999",715,,
Bathurst,268,"  $35,000 to $39,999",835,,
Bathurst,269,"  $40,000 to $44,999",840,,
Bathurst,270,"  $45,000 to $49,999",730,,
Bathurst,271,"  $50,000 to $59,999",1250,,
Bathurst,272,"  $60,000 to $69,999",1095,,
Bathurst,273,"  $70,000 to $79,999",1020,,
Bathurst,274,"  $80,000 to $89,999",900,,
Bathurst,275,"  $90,000 to $99,999",800,,
Bathurst,276,"  $100,000 and over",3705,,
Bathurst,277,"    $100,000 to $124,999",1375,,
Bathurst,278,"    $125,000 to $149,999",900,,
Bathurst,279,"    $150,000 to $199,999",930,,
Bathurst,280,"    $200,000 and over",500,,
Bathurst,283,"  $5,000 to $9,999",225,,
Bathurst,284,"  $10,000 to $14,999",260,,
Bathurst,285,"  $15,000 to $19,999",245,,
Bathurst,286,"  $20,000 to $24,999",1175,,
Bathurst,287,"  $25,000 to $29,999",740,,
Bathurst,288,"  $30,000 to $34,999",845,,
Bathurst,289,"  $35,000 to $39,999",960,,
Bathurst,290,"  $40,000 to $44,999",900,,
Bathurst,291,"  $45,000 to $49,999",820,,
Bathurst,292,"  $50,000 to $59,999",1485,,
Bathurst,293,"  $60,000 to $69,999",1280,,
Bathurst,294,"  $70,000 to $79,999",1130,,
Bathurst,295,"  $80,000 to $89,999",900,,
Bathurst,296,"  $90,000 to $99,999",745,,
Bathurst,297,"  $100,000 and over",2585,,
Bathurst,298,"    $100,000 to $124,999",1235,,
Bathurst,299,"    $125,000 to $149,999",695,,
Bathurst,300,"    $150,000 and over",655,,
Bathurst,336,  0 to 17 years,4260,2190,2075
Bathurst,338,  18 to 64 years,17895,8825,9070
Bathurst,339,  65 years and over,8390,4060,4330
Bathurst,341,  0 to 17 years,670,340,330
Bathurst,343,  18 to 64 years,2275,1130,1145
Bathurst,344,  65 years and over,2010,830,1180
Bathurst,351,  0 to 17 years,4230,2170,2055
Bathurst,353,  18 to 64 years,17805,8780,9025
Bathurst,354,  65 years and over,8375,4055,4325
Bathurst,356,  0 to 17 years,140,65,80
Bathurst,358,  18 to 64 years,905,485,420
Bathurst,359,  65 years and over,80,30,50
Bathurst,1457,  15 to 24 years,395,,
Bathurst,1458,  25 to 34 years,1385,,
Bathurst,1459,  35 to 44 years,1680,,
Bathurst,1460,  45 to 54 years,2270,,
Bathurst,1461,  55 to 64 years,3360,,
Bathurst,1462,  65 to 74 years,3135,,
Bathurst,1463,  75 to 84 years,1720,,
Bathurst,1464,  85 years and over,445,,
Bathurst,1540,  5 to 14 years,145,70,70
Bathurst,1541,  15 to 24 years,105,55,55
Bathurst,1542,  25 to 44 years,340,170,175
Miramichi,9,  0 to 14 years,3695,1870,1825
Miramichi,12,    10 to 14 years,1365,695,670
Miramichi,13,  15 to 64 years,16710,8135,8570
Miramichi,14,    15 to 19 years,1355,725,635
Miramichi,15,    20 to 24 years,1385,700,685
Miramichi,16,    25 to 29 years,1320,660,660
Miramichi,17,    30 to 34 years,1325,645,680
Miramichi,18,    35 to 39 years,1385,645,745
Miramichi,19,    40 to 44 years,1520,740,780
Miramichi,20,    45 to 49 years,1860,885,975
Miramichi,21,    50 to 54 years,1990,945,1050
Miramichi,22,    55 to 59 years,2260,1075,1185
Miramichi,23,    60 to 64 years,2315,1120,1195
Miramichi,24,  65 years and over,7195,3290,3905
Miramichi,25,    65 to 69 years,2335,1075,1260
Miramichi,26,    70 to 74 years,2015,965,1050
Miramichi,27,    75 to 79 years,1245,605,645
Miramichi,28,    80 to 84 years,855,370,485
Miramichi,29,    85 years and over,735,270,460
Miramichi,30,      85 to 89 years,480,195,285
Miramichi,31,      90 to 94 years,195,65,135
Miramichi,32,      95 to 99 years,50,15,40
Miramichi,35,  0 to 14 years,13.4,14.1,12.8
Miramichi,36,  15 to 64 years,60.6,61.2,59.9
Miramichi,37,  65 years and over,26.1,24.7,27.3
Miramichi,38,    85 years and over,2.7,2,3.2
Miramichi,159,"    $10,000 to $19,999",2925,1175,1750
Miramichi,160,"    $20,000 to $29,999",4235,1785,2450
Miramichi,161,"    $30,000 to $39,999",3490,1650,1845
Miramichi,162,"    $40,000 to $49,999",2960,1460,1505
Miramichi,163,"    $50,000 to $59,999",2155,1125,1030
Miramichi,164,"    $60,000 to $69,999",1545,870,675
Miramichi,165,"    $70,000 to $79,999",1110,600,510
Miramichi,166,"    $80,000 to $89,999",895,445,445
Miramichi,167,"    $90,000 to $99,999",610,340,270
Miramichi,168,"    $100,000 and over",1045,720,320
Miramichi,169,"      $100,000 to $149,999",775,510,260
Miramichi,170,"      $150,000 and over",275,215,65
Miramichi,175,"    $10,000 to $19,999",3085,1250,1835
Miramichi,176,"    $20,000 to $29,999",4995,2160,2835
Miramichi,177,"    $30,000 to $39,999",4045,1955,2095
Miramichi,178,"    $40,000 to $49,999",3220,1680,1545
Miramichi,179,"    $50,000 to $59,999",2185,1190,990
Miramichi,180,"    $60,000 to $69,999",1395,710,685
Miramichi,181,"    $70,000 to $79,999",925,490,435
Miramichi,182,"    $80,000 to $89,999",415,255,160
Miramichi,183,"    $90,000 to $99,999",210,140,65
Miramichi,184,"    $100,000 and over",400,305,100
Miramichi,185,"      $100,000 to $124,999",210,150,60
Miramichi,186,"      $125,000 and over",185,150,40
Miramichi,191,"    $5,000 to $9,999",1320,620,700
Miramichi,192,"    $10,000 to $19,999",2070,1035,1035
Miramichi,193,"    $20,000 to $29,999",1745,855,885
Miramichi,194,"    $30,000 to $39,999",1740,760,985
Miramichi,195,"    $40,000 to $49,999",1370,705,665
Miramichi,196,"    $50,000 to $59,999",1165,600,565
Miramichi,197,"    $60,000 to $69,999",1000,535,465
Miramichi,198,"    $70,000 to $79,999",735,370,365
Miramichi,199,"    $80,000 to $89,999",695,320,375
Miramichi,200,"    $90,000 to $99,999",455,260,190
Miramichi,201,"    $100,000 and over",740,535,200
Miramichi,202,"      $100,000 to $124,999",430,280,150
Miramichi,203,"      $125,000 and over",315,260,55
Miramichi,262,"  $5,000 to $9,999",120,,
Miramichi,263,"  $10,000 to $14,999",200,,
Miramichi,264,"  $15,000 to $19,999",225,,
Miramichi,265,"  $20,000 to $24,999",825,,
Miramichi,266,"  $25,000 to $29,999",495,,
Miramichi,267,"  $30,000 to $34,999",605,,
Miramichi,268,"  $35,000 to $39,999",665,,
Miramichi,269,"  $40,000 to $44,999",640,,
Miramichi,270,"  $45,000 to $49,999",530,,
Miramichi,271,"  $50,000 to $59,999",1035,,
Miramichi,272,"  $60,000 to $69,999",1055,,
Miramichi,273,"  $70,000 to $79,999",925,,
Miramichi,274,"  $80,000 to $89,999",740,,
Miramichi,275,"  $90,000 to $99,999",685,,
Miramichi,276,"  $100,000 and over",3475,,
Miramichi,277,"    $100,000 to $124,999",1285,,
Miramichi,278,"    $125,000 to $149,999",805,,
Miramichi,279,"    $150,000 to $199,999",910,,
Miramichi,280,"    $200,000 and over",480,,
Miramichi,283,"  $5,000 to $9,999",125,,
Miramichi,284,"  $10,000 to $14,999",205,,
Miramichi,285,"  $15,000 to $19,999",245,,
Miramichi,286,"  $20,000 to $24,999",870,,
Miramichi,287,"  $25,000 to $29,999",605,,
Miramichi,288,"  $30,000 to $34,999",695,,
Miramichi,289,"  $35,000 to $39,999",745,,
Miramichi,290,"  $40,000 to $44,999",685,,
Miramichi,291,"  $45,000 to $49,999",615,,
Miramichi,292,"  $50,000 to $59,999",1305,,
Miramichi,293,"  $60,000 to $69,999",1175,,
Miramichi,294,"  $70,000 to $79,999",955,,
Miramichi,295,"  $80,000 to $89,999",790,,
Miramichi,296,"  $90,000 to $99,999",680,,
Miramichi,297,"  $100,000 and over",2510,,
Miramichi,298,"    $100,000 to $124,999",1170,,
Miramichi,299,"    $125,000 to $149,999",660,,
Miramichi,300,"    $150,000 and over",685,,
Miramichi,336,  0 to 17 years,4475,2285,2185
Miramichi,338,  18 to 64 years,15710,7610,8105
Miramichi,339,  65 years and over,6855,3175,3680
Miramichi,341,  0 to 17 years,750,380,365
Miramichi,343,  18 to 64 years,1855,855,995
Miramichi,344,  65 years and over,1435,535,905
Miramichi,351,  0 to 17 years,4230,2160,2065
Miramichi,353,  18 to 64 years,15060,7290,7770
Miramichi,354,  65 years and over,6760,3130,3625
Miramichi,356,  0 to 17 years,115,60,55
Miramichi,358,  18 to 64 years,625,325,305
Miramichi,359,  65 years and over,80,25,55
Miramichi,1457,  15 to 24 years,265,,
Miramichi,1458,  25 to 34 years,1155,,
Miramichi,1459,  35 to 44 years,1570,,
Miramichi,1460,  45 to 54 years,2080,,
Miramichi,1461,  55 to 64 years,2605,,
Miramichi,1462,  65 to 74 years,2715,,
Miramichi,1463,  75 to 84 years,1430,,
Miramichi,1464,  85 years and over,475,,
Miramichi,1540,  5 to 14 years,175,80,95
Miramichi,1541,  15 to 24 years,135,65,70
Miramichi,1542,  25 to 44 years,335,155,180
Campbellton,9,  0 to 14 years,1545,810,740
Campbellton,12,    10 to 14 years,590,320,270
Campbellton,13,  15 to 64 years,8070,4000,4070
Campbellton,14,    15 to 19 years,620,305,315
Campbellton,15,    20 to 24 years,570,290,275
Campbellton,16,    25 to 29 years,650,325,315
Campbellton,17,    30 to 34 years,655,310,350
Campbellton,18,    35 to 39 years,650,310,340
Campbellton,19,    40 to 44 years,625,315,315
Campbellton,20,    45 to 49 years,770,380,390
Campbellton,21,    50 to 54 years,930,450,480
Campbellton,22,    55 to 59 years,1310,655,660
Campbellton,23,    60 to 64 years,1290,665,630
Campbellton,24,  65 years and over,3710,1710,2000
Campbellton,25,    65 to 69 years,1185,585,605
Campbellton,26,    70 to 74 years,990,475,510
Campbellton,27,    75 to 79 years,640,300,340
Campbellton,28,    80 to 84 years,465,210,250
Campbellton,29,    85 years and over,430,135,290
Campbellton,30,      85 to 89 years,290,105,185
Campbellton,31,      90 to 94 years,105,25,75
Campbellton,32,      95 to 99 years,30,5,25
Campbellton,35,  0 to 14 years,11.6,12.4,10.9
Campbellton,36,  15 to 64 years,60.5,61.4,59.7
Campbellton,37,  65 years and over,27.8,26.2,29.3
Campbellton,38,    85 years and over,3.2,2.1,4.3
Campbellton,159,"    $10,000 to $19,999",1615,670,945
Campbellton,160,"    $20,000 to $29,999",2275,1025,1255
Campbellton,161,"    $30,000 to $39,999",1960,995,965
Campbellton,162,"    $40,000 to $49,999",1475,735,745
Campbellton,163,"    $50,000 to $59,999",860,415,440
Campbellton,164,"    $60,000 to $69,999",565,300,270
Campbellton,165,"    $70,000 to $79,999",380,225,155
Campbellton,166,"    $80,000 to $89,999",305,155,150
Campbellton,167,"    $90,000 to $99,999",190,100,95
Campbellton,168,"    $100,000 and over",375,250,120
Campbellton,169,"      $100,000 to $149,999",285,190,95
Campbellton,170,"      $150,000 and over",85,60,25
Campbellton,175,"    $10,000 to $19,999",1695,705,985
Campbellton,176,"    $20,000 to $29,999",2710,1255,1455
Campbellton,177,"    $30,000 to $39,999",2280,1160,1120
Campbellton,178,"    $40,000 to $49,999",1375,695,680
Campbellton,179,"    $50,000 to $59,999",750,380,370
Campbellton,180,"    $60,000 to $69,999",510,270,245
Campbellton,181,"    $70,000 to $79,999",305,155,150
Campbellton,182,"    $80,000 to $89,999",150,95,55
Campbellton,183,"    $90,000 to $99,999",60,45,20
Campbellton,184,"    $100,000 and over",130,90,40
Campbellton,185,"      $100,000 to $124,999",70,45,25
Campbellton,186,"      $125,000 and over",60,45,15
Campbellton,191,"    $5,000 to $9,999",630,305,325
Campbellton,192,"    $10,000 to $19,999",1095,600,500
Campbellton,193,"    $20,000 to $29,999",860,450,415
Campbellton,194,"    $30,000 to $39,999",880,400,480
Campbellton,195,"    $40,000 to $49,999",670,305,365
Campbellton,196,"    $50,000 to $59,999",420,220,195
Campbellton,197,"    $60,000 to $69,999",320,170,145
Campbellton,198,"    $70,000 to $79,999",285,165,120
Campbellton,199,"    $80,000 to $89,999",225,110,115
Campbellton,200,"    $90,000 to $99,999",160,90,70
Campbellton,201,"    $100,000 and over",235,170,65
Campbellton,202,"      $100,000 to $124,999",140,100,45
Campbellton,203,"      $125,000 and over",90,75,20
Campbellton,262,"  $5,000 to $9,999",130,,
Campbellton,263,"  $10,000 to $14,999",160,,
Campbellton,264,"  $15,000 to $19,999",155,,
Campbellton,265,"  $20,000 to $24,999",530,,
Campbellton,266,"  $25,000 to $29,999",310,,
Campbellton,267,"  $30,000 to $34,999",385,,
Campbellton,268,"  $35,000 to $39,999",410,,
Campbellton,269,"  $40,000 to $44,999",375,,
Campbellton,270,"  $45,000 to $49,999",305,,
Campbellton,271,"  $50,000 to $59,999",515,,
Campbellton,272,"  $60,000 to $69,999",425,,
Campbellton,273,"  $70,000 to $79,999",415,,
Campbellton,274,"  $80,000 to $89,999",330,,
Campbellton,275,"  $90,000 to $99,999",270,,
Campbellton,276,"  $100,000 and over",1360,,
Campbellton,277,"    $100,000 to $124,999",565,,
Campbellton,278,"    $125,000 to $149,999",335,,
Campbellton,279,"    $150,000 to $199,999",310,,
Campbellton,280,"    $200,000 and over",150,,
Campbellton,283,"  $5,000 to $9,999",130,,
Campbellton,284,"  $10,000 to $14,999",165,,
Campbellton,285,"  $15,000 to $19,999",165,,
Campbellton,286,"  $20,000 to $24,999",575,,
Campbellton,287,"  $25,000 to $29,999",380,,
Campbellton,288,"  $30,000 to $34,999",465,,
Campbellton,289,"  $35,000 to $39,999",450,,
Campbellton,290,"  $40,000 to $44,999",380,,
Campbellton,291,"  $45,000 to $49,999",335,,
Campbellton,292,"  $50,000 to $59,999",575,,
Campbellton,293,"  $60,000 to $69,999",485,,
Campbellton,294,"  $70,000 to $79,999",450,,
Campbellton,295,"  $80,000 to $89,999",345,,
Campbellton,296,"  $90,000 to $99,999",280,,
Campbellton,297,"  $100,000 and over",930,,
Campbellton,298,"    $100,000 to $124,999",480,,
Campbellton,299,"    $125,000 to $149,999",245,,
Campbellton,300,"    $150,000 and over",205,,
Campbellton,336,  0 to 17 years,1915,990,925
Campbellton,338,  18 to 64 years,7465,3635,3835
Campbellton,339,  65 years and over,3275,1540,1735
Campbellton,341,  0 to 17 years,400,200,195
Campbellton,343,  18 to 64 years,1205,575,625
Campbellton,344,  65 years and over,925,350,575
Campbellton,351,  0 to 17 years,1915,985,930
Campbellton,353,  18 to 64 years,7465,3635,3835
Campbellton,354,  65 years and over,3275,1535,1740
Campbellton,356,  0 to 17 years,75,45,30
Campbellton,358,  18 to 64 years,485,245,240
Campbellton,359,  65 years and over,50,15,30
Campbellton,1457,  15 to 24 years,165,,
Campbellton,1458,  25 to 34 years,595,,
Campbellton,1459,  35 to 44 years,795,,
Campbellton,1460,  45 to 54 years,810,,
Campbellton,1461,  55 to 64 years,1575,,
Campbellton,1462,  65 to 74 years,1310,,
Campbellton,1463,  75 to 84 years,655,,
Campbellton,1464,  85 years and over,225,,
Campbellton,1540,  5 to 14 years,35,15,15
Campbellton,1541,  15 to 24 years,70,45,25
Campbellton,1542,  25 to 44 years,130,85,45
Campbellton (New Brunswick part),9,  0 to 14 years,1355,700,655
Campbellton (New Brunswick part),12,    10 to 14 years,515,280,235
Campbellton (New Brunswick part),13,  15 to 64 years,7275,3605,3670
Campbellton (New Brunswick part),14,    15 to 19 years,570,275,295
Campbellton (New Brunswick part),15,    20 to 24 years,525,275,250
Campbellton (New Brunswick part),16,    25 to 29 years,585,300,290
Campbellton (New Brunswick part),17,    30 to 34 years,595,275,315
Campbellton (New Brunswick part),18,    35 to 39 years,575,285,290
Campbellton (New Brunswick part),19,    40 to 44 years,550,275,280
Campbellton (New Brunswick part),20,    45 to 49 years,685,330,355
Campbellton (New Brunswick part),21,    50 to 54 years,845,410,440
Campbellton (New Brunswick part),22,    55 to 59 years,1180,585,595
Campbellton (New Brunswick part),23,    60 to 64 years,1170,600,570
Campbellton (New Brunswick part),24,  65 years and over,3350,1535,1820
Campbellton (New Brunswick part),25,    65 to 69 years,1060,520,545
Campbellton (New Brunswick part),26,    70 to 74 years,885,430,455
Campbellton (New Brunswick part),27,    75 to 79 years,580,275,310
Campbellton (New Brunswick part),28,    80 to 84 years,420,190,230
Campbellton (New Brunswick part),29,    85 years and over,400,125,275
Campbellton (New Brunswick part),30,      85 to 89 years,265,95,175
Campbellton (New Brunswick part),31,      90 to 94 years,95,25,75
Campbellton (New Brunswick part),32,      95 to 99 years,30,5,25
Campbellton (New Brunswick part),35,  0 to 14 years,11.3,12,10.7
Campbellton (New Brunswick part),36,  15 to 64 years,60.7,61.7,59.7
Campbellton (New Brunswick part),37,  65 years and over,28,26.3,29.6
Campbellton (New Brunswick part),38,    85 years and over,3.3,2.1,4.5
Campbellton (New Brunswick part),159,"    $10,000 to $19,999",1405,570,835
Campbellton (New Brunswick part),160,"    $20,000 to $29,999",2030,900,1125
Campbellton (New Brunswick part),161,"    $30,000 to $39,999",1795,910,890
Campbellton (New Brunswick part),162,"    $40,000 to $49,999",1350,670,680
Campbellton (New Brunswick part),163,"    $50,000 to $59,999",755,370,385
Campbellton (New Brunswick part),164,"    $60,000 to $69,999",500,260,235
Campbellton (New Brunswick part),165,"    $70,000 to $79,999",350,210,145
Campbellton (New Brunswick part),166,"    $80,000 to $89,999",270,140,130
Campbellton (New Brunswick part),167,"    $90,000 to $99,999",180,85,95
Campbellton (New Brunswick part),168,"    $100,000 and over",340,230,110
Campbellton (New Brunswick part),169,"      $100,000 to $149,999",260,170,85
Campbellton (New Brunswick part),170,"      $150,000 and over",80,55,25
Campbellton (New Brunswick part),175,"    $10,000 to $19,999",1480,605,875
Campbellton (New Brunswick part),176,"    $20,000 to $29,999",2420,1110,1310
Campbellton (New Brunswick part),177,"    $30,000 to $39,999",2085,1055,1030
Campbellton (New Brunswick part),178,"    $40,000 to $49,999",1230,620,610
Campbellton (New Brunswick part),179,"    $50,000 to $59,999",660,335,325
Campbellton (New Brunswick part),180,"    $60,000 to $69,999",465,245,215
Campbellton (New Brunswick part),181,"    $70,000 to $79,999",285,145,145
Campbellton (New Brunswick part),182,"    $80,000 to $89,999",135,85,50
Campbellton (New Brunswick part),183,"    $90,000 to $99,999",60,40,20
Campbellton (New Brunswick part),184,"    $100,000 and over",120,85,35
Campbellton (New Brunswick part),185,"      $100,000 to $124,999",65,40,20
Campbellton (New Brunswick part),186,"      $125,000 and over",55,45,15
Campbellton (New Brunswick part),191,"    $5,000 to $9,999",570,275,300
Campbellton (New Brunswick part),192,"    $10,000 to $19,999",990,535,455
Campbellton (New Brunswick part),193,"    $20,000 to $29,999",770,395,370
Campbellton (New Brunswick part),194,"    $30,000 to $39,999",800,355,445
Campbellton (New Brunswick part),195,"    $40,000 to $49,999",600,275,320
Campbellton (New Brunswick part),196,"    $50,000 to $59,999",375,200,175
Campbellton (New Brunswick part),197,"    $60,000 to $69,999",285,150,130
Campbellton (New Brunswick part),198,"    $70,000 to $79,999",265,155,115
Campbellton (New Brunswick part),199,"    $80,000 to $89,999",200,100,100
Campbellton (New Brunswick part),200,"    $90,000 to $99,999",155,80,70
Campbellton (New Brunswick part),201,"    $100,000 and over",215,155,60
Campbellton (New Brunswick part),202,"      $100,000 to $124,999",135,90,40
Campbellton (New Brunswick part),203,"      $125,000 and over",85,65,15
Campbellton (New Brunswick part),262,"  $5,000 to $9,999",120,,
Campbellton (New Brunswick part),263,"  $10,000 to $14,999",145,,
Campbellton (New Brunswick part),264,"  $15,000 to $19,999",120,,
Campbellton (New Brunswick part),265,"  $20,000 to $24,999",460,,
Campbellton (New Brunswick part),266,"  $25,000 to $29,999",290,,
Campbellton (New Brunswick part),267,"  $30,000 to $34,999",340,,
Campbellton (New Brunswick part),268,"  $35,000 to $39,999",370,,
Campbellton (New Brunswick part),269,"  $40,000 to $44,999",350,,
Campbellton (New Brunswick part),270,"  $45,000 to $49,999",275,,
Campbellton (New Brunswick part),271,"  $50,000 to $59,999",460,,
Campbellton (New Brunswick part),272,"  $60,000 to $69,999",375,,
Campbellton (New Brunswick part),273,"  $70,000 to $79,999",370,,
Campbellton (New Brunswick part),274,"  $80,000 to $89,999",295,,
Campbellton (New Brunswick part),275,"  $90,000 to $99,999",255,,
Campbellton (New Brunswick part),276,"  $100,000 and over",1235,,
Campbellton (New Brunswick part),277,"    $100,000 to $124,999",515,,
Campbellton (New Brunswick part),278,"    $125,000 to $149,999",300,,
Campbellton (New Brunswick part),279,"    $150,000 to $199,999",275,,
Campbellton (New Brunswick part),280,"    $200,000 and over",140,,
Campbellton (New Brunswick part),283,"  $5,000 to $9,999",120,,
Campbellton (New Brunswick part),284,"  $10,000 to $14,999",145,,
Campbellton (New Brunswick part),285,"  $15,000 to $19,999",135,,
Campbellton (New Brunswick part),286,"  $20,000 to $24,999",495,,
Campbellton (New Brunswick part),287,"  $25,000 to $29,999",350,,
Campbellton (New Brunswick part),288,"  $30,000 to $34,999",415,,
Campbellton (New Brunswick part),289,"  $35,000 to $39,999",395,,
Campbellton (New Brunswick part),290,"  $40,000 to $44,999",345,,
Campbellton (New Brunswick part),291,"  $45,000 to $49,999",300,,
Campbellton (New Brunswick part),292,"  $50,000 to $59,999",500,,
Campbellton (New Brunswick part),293,"  $60,000 to $69,999",435,,
Campbellton (New Brunswick part),294,"  $70,000 to $79,999",395,,
Campbellton (New Brunswick part),295,"  $80,000 to $89,999",320,,
Campbellton (New Brunswick part),296,"  $90,000 to $99,999",245,,
Campbellton (New Brunswick part),297,"  $100,000 and over",850,,
Campbellton (New Brunswick part),298,"    $100,000 to $124,999",435,,
Campbellton (New Brunswick part),299,"    $125,000 to $149,999",220,,
Campbellton (New Brunswick part),300,"    $150,000 and over",195,,
Campbellton (New Brunswick part),336,  0 to 17 years,1680,860,825
Campbellton (New Brunswick part),338,  18 to 64 years,6715,3265,3450
Campbellton (New Brunswick part),339,  65 years and over,2935,1375,1560
Campbellton (New Brunswick part),341,  0 to 17 years,375,190,185
Campbellton (New Brunswick part),343,  18 to 64 years,1075,510,565
Campbellton (New Brunswick part),344,  65 years and over,815,305,505
Campbellton (New Brunswick part),351,  0 to 17 years,1680,855,825
Campbellton (New Brunswick part),353,  18 to 64 years,6715,3265,3455
Campbellton (New Brunswick part),354,  65 years and over,2935,1375,1565
Campbellton (New Brunswick part),356,  0 to 17 years,75,45,30
Campbellton (New Brunswick part),358,  18 to 64 years,455,230,230
Campbellton (New Brunswick part),359,  65 years and over,50,15,30
Campbellton (New Brunswick part),1457,  15 to 24 years,145,,
Campbellton (New Brunswick part),1458,  25 to 34 years,550,,
Campbellton (New Brunswick part),1459,  35 to 44 years,690,,
Campbellton (New Brunswick part),1460,  45 to 54 years,735,,
Campbellton (New Brunswick part),1461,  55 to 64 years,1410,,
Campbellton (New Brunswick part),1462,  65 to 74 years,1160,,
Campbellton (New Brunswick part),1463,  75 to 84 years,595,,
Campbellton (New Brunswick part),1464,  85 years and over,210,,
Campbellton (New Brunswick part),1540,  5 to 14 years,20,10,15
Campbellton (New Brunswick part),1541,  15 to 24 years,70,45,25
Campbellton (New Brunswick part),1542,  25 to 44 years,120,80,45
Campbellton (Quebec part),9,  0 to 14 years,190,105,90
Campbellton (Quebec part),12,    10 to 14 years,75,40,35
Campbellton (Quebec part),13,  15 to 64 years,790,395,400
Campbellton (Quebec part),14,    15 to 19 years,55,30,20
Campbellton (Quebec part),15,    20 to 24 years,40,15,25
Campbellton (Quebec part),16,    25 to 29 years,60,35,30
Campbellton (Quebec part),17,    30 to 34 years,60,30,30
Campbellton (Quebec part),18,    35 to 39 years,70,25,50
Campbellton (Quebec part),19,    40 to 44 years,75,40,35
Campbellton (Quebec part),20,    45 to 49 years,85,45,35
Campbellton (Quebec part),21,    50 to 54 years,80,40,45
Campbellton (Quebec part),22,    55 to 59 years,130,70,65
Campbellton (Quebec part),23,    60 to 64 years,125,65,60
Campbellton (Quebec part),24,  65 years and over,360,170,180
Campbellton (Quebec part),25,    65 to 69 years,120,60,60
Campbellton (Quebec part),26,    70 to 74 years,100,45,55
Campbellton (Quebec part),27,    75 to 79 years,60,25,30
Campbellton (Quebec part),28,    80 to 84 years,45,25,20
Campbellton (Quebec part),29,    85 years and over,30,10,15
Campbellton (Quebec part),30,      85 to 89 years,25,10,15
Campbellton (Quebec part),31,      90 to 94 years,5,5,5
Campbellton (Quebec part),32,      95 to 99 years,0,0,0
Campbellton (Quebec part),35,  0 to 14 years,14.2,15.6,13.4
Campbellton (Quebec part),36,  15 to 64 years,59,58.5,59.7
Campbellton (Quebec part),37,  65 years and over,26.9,25.2,26.9
